,station_ID,Date,Time,Day,Month,Year,TC,TdC,Hr,ddd,ffkmh,Precmm,Prechrs,Nt,Nh,HKm,Viskm
165,63680,18/07/2021 12:00,12:00:00,18,7,2021,25.2,18.9,45,SSE,5.6,0.0/6h,6h,4,4,0.6,10
175,63680,18/07/2021 09:00,09:00:00,18,7,2021,25,18.9,52,SSE,9.3,0.0/3h,3h,4,4,0.6,10
185,63680,17/07/2021 12:00,12:00:00,17,7,2021,25.2,18.9,42,E,9.3,0.0/6h,6h,3,3,0.6,10
195,63680,17/07/2021 06:00,06:00:00,17,7,2021,19.4,18.9,84,CAL,0,7.0/24h,24h,2,2,0.3,3
205,63680,14/07/2021 09:00,09:00:00,14,7,2021,23,18.9,61,CAL,0,0.0/3h,3h,6,5,0.6,9
219,63680,13/07/2021 09:00,09:00:00,13,7,2021,25,18.9,63,CAL,0,0.0/3h,3h,7,4,0.6,9
225,63680,10/07/2021 09:00,09:00:00,10,7,2021,24.2,18.9,70,WSW,5.6,0.0/3h,3h,7,6,0.6,10
235,63680,09/07/2021 09:00,09:00:00,9,7,2021,23,18.9,77,S,5.6,0.0/3h,3h,6,6,0.6,10
245,63680,05/07/2021 12:00,12:00:00,5,7,2021,26.5,18.9,52,SSE,5.6,0.0/6h,6h,5,3,0.6,10
255,63680,03/07/2021 06:00,06:00:00,3,7,2021,20.5,18.9,96,CAL,0,0.5/24h,24h,3,3,0.3,3
220,63680,29/06/2021 12:00,12:00:00,29,6,2021,25.5,18.9,71,S,11.1,0.0/6h,6h,5,4,0.6,10
318,63680,29/06/2021 06:00,06:00:00,29,6,2021,25,18.9,66,SSE,11.1,0.0/24h,24h,4,4,0.6,9
416,63680,28/06/2021 12:00,12:00:00,28,6,2021,25,18.9,69,SSE,11.1,0.0/6h,6h,7,4,0.6,10
512,63680,28/06/2021 09:00,09:00:00,28,6,2021,25.5,18.9,71,E,5.6,0.0/3h,3h,4,4,0.6,9
66,63680,28/06/2021 06:00,06:00:00,28,6,2021,21.2,18.9,88,CAL,0,0.0/24h,24h,7,4,0.3,4
76,63680,27/06/2021 12:00,12:00:00,27,6,2021,27.8,18.9,47,SSE,9.3,0.0/6h,6h,3,3,0.6,10
86,63680,25/06/2021 12:00,12:00:00,25,6,2021,26,18.9,70,S,9.3,0.0/6h,6h,5,4,0.6,10
96,63680,25/06/2021 09:00,09:00:00,25,6,2021,24.5,18.9,74,W,5.6,0.0/3h,3h,3,3,0.6,9
106,63680,24/06/2021 12:00,12:00:00,24,6,2021,27.4,18.9,55,SSE,5.6,0.0/6h,6h,3,3,0.6,10
116,63680,24/06/2021 09:00,09:00:00,24,6,2021,25.5,18.9,70,SSE,7.4,0.0/3h,3h,5,5,0.6,10
126,63680,18/06/2021 15:00,15:00:00,18,6,2021,22.5,18.9,80,CAL,0,0.0/3h,3h,7,5,0.3,9
136,63680,18/06/2021 12:00,12:00:00,18,6,2021,24.5,18.9,71,CAL,0,0.0/6h,6h,6,6,0.6,9
146,63680,18/06/2021 09:00,09:00:00,18,6,2021,22.6,18.9,79,CAL,0,0.0/3h,3h,7,4,0.3,7
156,63680,18/06/2021 06:00,06:00:00,18,6,2021,18.5,18.9,100,CAL,0,5.0/24h,24h,8,5,0.3,5
166,63680,17/06/2021 12:00,12:00:00,17,6,2021,26.5,18.9,67,CAL,0,0.0/6h,6h,4,4,0.6,8
176,63680,15/06/2021 12:00,12:00:00,15,6,2021,24.5,18.9,66,CAL,0,0.0/6h,6h,7,5,0.6,8
186,63680,14/06/2021 15:00,15:00:00,14,6,2021,24.5,18.9,66,S,7.4,0.0/3h,3h,5,2,0.6,10
196,63680,13/06/2021 15:00,15:00:00,13,6,2021,24.5,18.9,66,SSE,11.1,0.0/3h,3h,2,2,0.6,10
206,63680,13/06/2021 09:00,09:00:00,13,6,2021,26.4,18.9,62,SSE,14.8,0.0/3h,3h,3,3,0.6,9
2110,63680,12/06/2021 15:00,15:00:00,12,6,2021,25.2,18.9,63,SE,7.4,0.0/3h,3h,2,2,0.6,10
226,63680,12/06/2021 12:00,12:00:00,12,6,2021,26,18.9,63,SSE,14.8,0.0/6h,6h,5,5,0.6,10
236,63680,12/06/2021 09:00,09:00:00,12,6,2021,27,18.9,58,S,11.1,0.0/3h,3h,4,4,0.6,9
246,63680,12/06/2021 06:00,06:00:00,12,6,2021,24,18.9,76,S,5.6,0.0/24h,24h,2,2,0.6,4
256,63680,11/06/2021 12:00,12:00:00,11,6,2021,26,18.9,63,S,14.8,0.0/6h,6h,2,2,0.6,9
265,63680,11/06/2021 09:00,09:00:00,11,6,2021,26,18.9,70,E,13,0.0/3h,3h,4,4,0.6,10
274,63680,11/06/2021 06:00,06:00:00,11,6,2021,22.8,18.9,82,CAL,0,0.0/24h,24h,2,2,0.6,6
284,63680,10/06/2021 15:00,15:00:00,10,6,2021,24.8,18.9,69,SSE,7.4,0.0/3h,3h,2,2,0.6,10
294,63680,09/06/2021 12:00,12:00:00,9,6,2021,26.5,18.9,63,SSE,7.4,0.0/6h,6h,2,2,0.6,10
304,63680,09/06/2021 09:00,09:00:00,9,6,2021,25.5,18.9,66,SE,11.1,0.0/3h,3h,3,3,0.6,10
319,63680,09/06/2021 06:00,06:00:00,9,6,2021,23,18.9,80,CAL,0,0.0/24h,24h,2,2,0.6,5
324,63680,08/06/2021 12:00,12:00:00,8,6,2021,25.5,18.9,66,S,14.8,0.0/6h,6h,2,2,0.6,10
334,63680,08/06/2021 09:00,09:00:00,8,6,2021,25,18.9,69,ESE,7.4,0.0/3h,3h,5,5,0.6,10
343,63680,08/06/2021 06:00,06:00:00,8,6,2021,21.6,18.9,89,CAL,0,0.0/24h,24h,2,2,0.3,5
353,63680,07/06/2021 06:00,06:00:00,7,6,2021,23,18.9,80,CAL,0,22.0/24h,24h,2,2,0.6,4
363,63680,06/06/2021 12:00,12:00:00,6,6,2021,24.4,18.9,73,SSE,7.4,18.0/24h,24h,5,2,0.6,10
373,63680,06/06/2021 09:00,09:00:00,6,6,2021,17.6,18.9,100,CAL,0,4.0/3h,3h,8,6,0.3,7
383,63680,05/06/2021 15:00,15:00:00,5,6,2021,25.6,18.9,67,CAL,0,0.0/3h,3h,4,4,0.6,10
393,63680,05/06/2021 06:00,06:00:00,5,6,2021,21.2,18.9,94,CAL,0,0.0/24h,24h,7,4,0.3,3
402,63680,04/06/2021 12:00,12:00:00,4,6,2021,26,18.9,67,SE,3.7,0.0/6h,6h,4,4,0.6,10
417,63680,04/06/2021 09:00,09:00:00,4,6,2021,26,18.9,73,SSE,3.7,0.0/3h,3h,6,6,0.6,10
422,63680,04/06/2021 06:00,06:00:00,4,6,2021,23.4,18.9,80,CAL,0,0.0/24h,24h,6,3,0.6,4
432,63680,03/06/2021 09:00,09:00:00,3,6,2021,25.2,18.9,69,SSE,7.4,0.0/3h,3h,5,5,0.6,5
442,63680,03/06/2021 06:00,06:00:00,3,6,2021,21,18.9,91,CAL,0,0.0/24h,24h,7,4,0.3,3
452,63680,01/06/2021 06:00,06:00:00,1,6,2021,23.8,18.9,79,S,7.4,0.0/24h,24h,4,4,0.6,5
227,63680,31/05/2021 12:00,12:00:00,31,5,2021,27.5,18.9,61,SSE,11.1,0.0/6h,6h,4,4,0.6,10
320,63680,30/05/2021 12:00,12:00:00,30,5,2021,24.5,18.9,74,ESE,7.4,1.0/6h,6h,7,5,0.6,10
418,63680,30/05/2021 09:00,09:00:00,30,5,2021,21.2,18.9,91,SSE,9.3,0.0/3h,3h,7,5,0.3,8
513,63680,30/05/2021 08:00,08:00:00,30,5,2021,21.2,18.9,91,SSE,9.3,0.0/3h,3h,7,5,0.3,8
67,63680,30/05/2021 06:00,06:00:00,30,5,2021,22.4,18.9,88,CAL,0,Tr/24h,24h,7,5,0.3,5
77,63680,28/05/2021 15:00,15:00:00,28,5,2021,25.2,18.9,68,CAL,0,0.0/3h,3h,2,2,0.6,10
87,63680,28/05/2021 12:00,12:00:00,28,5,2021,27.4,18.9,58,S,7.4,0.0/6h,6h,3,3,0.6,10
97,63680,28/05/2021 09:00,09:00:00,28,5,2021,24,18.9,76,ESE,11.1,0.0/3h,3h,5,5,0.6,8
107,63680,27/05/2021 12:00,12:00:00,27,5,2021,26.5,18.9,61,CAL,9.3,0.0/6h,6h,2,2,0.6,10
117,63680,27/05/2021 09:00,09:00:00,27,5,2021,26,18.9,63,E,14.8,0.0/3h,3h,4,4,0.6,10
127,63680,26/05/2021 12:00,12:00:00,26,5,2021,27,18.9,58,SSE,9.3,0.0/6h,6h,3,3,0.6,10
137,63680,26/05/2021 09:00,09:00:00,26,5,2021,22.5,18.9,87,CAL,0,0.0/3h,3h,7,5,0.3,7
147,63680,26/05/2021 06:00,06:00:00,26,5,2021,23.4,18.9,80,CAL,0,0.0/24h,24h,2,2,0.6,5
157,63680,23/05/2021 12:00,12:00:00,23,5,2021,26.5,18.9,63,SSE,7.4,0.0/6h,6h,5,5,0.6,10
167,63680,23/05/2021 09:00,09:00:00,23,5,2021,24.5,18.9,76,CAL,0,0.0/3h,3h,4,4,0.6,8
177,63680,23/05/2021 06:00,06:00:00,23,5,2021,21.6,18.9,89,W,7.4,22.0/24h,24h,7,5,0.3,5
187,63680,22/05/2021 09:00,09:00:00,22,5,2021,26.5,18.9,67,S,7.4,0.0/3h,3h,5,6,0.6,9
197,63680,20/05/2021 15:00,15:00:00,20,5,2021,25.6,18.9,67,S,7.4,0.0/3h,3h,4,4,0.6,10
207,63680,19/05/2021 09:00,09:00:00,19,5,2021,26.5,18.9,63,S,7.4,0.0/3h,3h,4,4,0.6,10
2111,63680,19/05/2021 06:00,06:00:00,19,5,2021,22.5,18.9,83,CAL,0,3.0/24h,24h,6,2,0.3,6
228,63680,18/05/2021 12:00,12:00:00,18,5,2021,26,18.9,67,W,7.4,0.0/6h,6h,4,4,0.6,10
237,63680,18/05/2021 09:00,09:00:00,18,5,2021,19,18.9,100,CAL,0,Tr/3h,3h,7,4,0.3,7
247,63680,18/05/2021 06:00,06:00:00,18,5,2021,23.5,18.9,80,CAL,0,0.1/24h,24h,4,4,0.6,5
257,63680,17/05/2021 15:00,15:00:00,17,5,2021,23.4,18.9,80,CAL,0,0.0/3h,3h,5,5,0.6,10
266,63680,16/05/2021 15:00,15:00:00,16,5,2021,24,18.9,73,CAL,0,0.0/3h,3h,6,3,0.6,10
275,63680,16/05/2021 12:00,12:00:00,16,5,2021,24.5,18.9,69,NE,11.1,0.0/6h,6h,6,6,0.6,10
285,63680,16/05/2021 09:00,09:00:00,16,5,2021,26.6,18.9,63,SSE,7.4,0.0/3h,3h,3,3,0.6,9
295,63680,16/05/2021 06:00,06:00:00,16,5,2021,20.5,18.9,96,CAL,0,0.1/24h,24h,4,2,0.3,5
305,63680,15/05/2021 12:00,12:00:00,15,5,2021,25.5,18.9,66,CAL,0,0.0/6h,6h,4,4,0.6,10
3110,63680,15/05/2021 09:00,09:00:00,15,5,2021,22.3,18.9,81,E,5.6,0.0/3h,3h,7,4,0.3,7
325,63680,15/05/2021 06:00,06:00:00,15,5,2021,19.5,18.9,100,CAL,0,2.0/24h,24h,7,5,0.3,5
335,63680,14/05/2021 09:00,09:00:00,14,5,2021,25.2,18.9,72,SSE,9.3,0.0/3h,3h,4,4,0.6,10
344,63680,14/05/2021 06:00,06:00:00,14,5,2021,22,18.9,87,CAL,0,0.0/24h,24h,4,4,0.6,8
354,63680,12/05/2021 15:00,15:00:00,12,5,2021,23,18.9,80,CAL,0,0.0/3h,3h,7,4,0.6,10
364,63680,12/05/2021 06:00,06:00:00,12,5,2021,19.2,18.9,98,CAL,0,46.0/24h,24h,7,5,0.3,5
374,63680,11/05/2021 12:00,12:00:00,11,5,2021,18.6,18.9,100,CAL,0,8.0/6h,6h,8,6,0.3,5
384,63680,11/05/2021 09:00,09:00:00,11,5,2021,23.6,18.9,74,CAL,0,0.0/3h,3h,6,6,0.6,9
394,63680,11/05/2021 06:00,06:00:00,11,5,2021,20,18.9,96,CAL,0,15.0/24h,24h,7,4,0.3,5
403,63680,10/05/2021 12:00,12:00:00,10,5,2021,18.5,18.9,100,CAL,0,14.0/6h,6h,8,6,0.3,5
419,63680,10/05/2021 09:00,09:00:00,10,5,2021,19.4,18.9,100,CAL,0,1.0/3h,3h,8,6,0.3,5
423,63680,10/05/2021 06:00,06:00:00,10,5,2021,20,18.9,96,CAL,0,3.0/24h,24h,7,5,0.3,7
433,63680,09/05/2021 15:00,15:00:00,9,5,2021,21,18.9,96,CAL,0,0.4/3h,3h,7,4,0.3,10
443,63680,08/05/2021 12:00,12:00:00,8,5,2021,19.5,18.9,100,CAL,0,8.0/6h,6h,8,6,0.6,9
453,63680,08/05/2021 09:00,09:00:00,8,5,2021,23,18.9,83,CAL,0,0.0/3h,3h,7,5,0.6,8
462,63680,08/05/2021 06:00,06:00:00,8,5,2021,20,18.9,96,CAL,0,0.3/24h,24h,7,5,0.3,6
471,63680,07/05/2021 12:00,12:00:00,7,5,2021,26,18.9,67,S,7.4,0.0/6h,6h,4,4,0.6,10
481,63680,06/05/2021 12:00,12:00:00,6,5,2021,24,18.9,76,W,14.8,0.0/6h,6h,5,5,0.6,10
491,63680,06/05/2021 06:00,06:00:00,6,5,2021,21,18.9,91,CAL,0,2.0/24h,24h,7,4,0.3,5
501,63680,04/05/2021 15:00,15:00:00,4,5,2021,24.4,18.9,73,SSE,7.4,0.0/3h,3h,6,4,0.6,10
514,63680,03/05/2021 12:00,12:00:00,3,5,2021,23.3,18.9,79,W,7.4,0.0/6h,6h,5,4,0.6,10
521,63680,03/05/2021 09:00,09:00:00,3,5,2021,19.8,18.9,93,WNW,5.6,15.0/3h,3h,7,5,0.3,9
531,63680,03/05/2021 06:00,06:00:00,3,5,2021,20,18.9,96,CAL,0,2.0/24h,24h,8,6,0.3,6
541,63680,02/05/2021 15:00,15:00:00,2,5,2021,25,18.9,71,S,5.6,0.0/3h,3h,6,2,0.6,10
551,63680,02/05/2021 12:00,12:00:00,2,5,2021,25.7,18.9,65,SSE,3.7,0.0/6h,6h,4,4,0.6,10
561,63680,02/05/2021 09:00,09:00:00,2,5,2021,23.5,18.9,80,CAL,0,2.0/24h,24h,7,4,0.6,10
571,63680,02/05/2021 06:00,06:00:00,2,5,2021,19,18.9,100,CAL,0,11.0/24h,24h,7,5,0.3,8
229,63680,30/04/2021 15:00,15:00:00,30,4,2021,26,18.9,67,S,7.4,0.0/3h,3h,4,4,0.6,10
326,63680,30/04/2021 12:00,12:00:00,30,4,2021,26,18.9,62,E,5.6,0.0/6h,6h,3,3,0.6,10
420,63680,30/04/2021 09:00,09:00:00,30,4,2021,25.5,18.9,66,W,9.3,0.0/3h,3h,2,2,0.6,10
515,63680,30/04/2021 06:00,06:00:00,30,4,2021,19,18.9,98,CAL,0,12.0/24h,24h,7,4,0.3,7
68,63680,29/04/2021 12:00,12:00:00,29,4,2021,26,18.9,63,S,11.1,0.0/6h,6h,4,4,0.6,10
78,63680,29/04/2021 09:00,09:00:00,29,4,2021,24.5,18.9,73,CAL,0,0.0/3h,3h,4,4,0.6,8
88,63680,29/04/2021 06:00,06:00:00,29,4,2021,18.4,18.9,100,W,7.4,6.0/24h,24h,7,5,0.3,6
98,63680,28/04/2021 09:00,09:00:00,28,4,2021,22.5,18.9,83,CAL,0,0.0/3h,3h,7,5,0.3,8
108,63680,27/04/2021 15:00,15:00:00,27,4,2021,26,18.9,62,CAL,0,0.0/3h,3h,2,2,0.6,10
118,63680,26/04/2021 15:00,15:00:00,26,4,2021,24.5,18.9,73,CAL,0,0.0/3h,3h,4,4,0.6,10
128,63680,26/04/2021 06:00,06:00:00,26,4,2021,20.5,18.9,91,CAL,0,4.0/24h,24h,5,3,0.3,5
138,63680,25/04/2021 12:00,12:00:00,25,4,2021,22,18.9,83,SW,3.7,0.3/6h,6h,6,2,0.3,10
148,63680,25/04/2021 09:00,09:00:00,25,4,2021,17.5,18.9,100,CAL,0,4.0/3h,3h,8,5,0.3,9
158,63680,25/04/2021 06:00,06:00:00,25,4,2021,18,18.9,100,CAL,0,16.0/24h,24h,8,6,0.3,9
168,63680,24/04/2021 12:00,12:00:00,24,4,2021,27.4,18.9,59,CAL,0,0.0/6h,6h,4,4,0.6,10
178,63680,24/04/2021 09:00,09:00:00,24,4,2021,25,18.9,69,SSE,7.4,0.0/3h,3h,7,4,0.6,9
188,63680,24/04/2021 06:00,06:00:00,24,4,2021,20.5,18.9,96,CAL,0,2.0/24h,24h,7,5,0.3,6
198,63680,20/04/2021 12:00,12:00:00,20,4,2021,26,18.9,70,S,11.1,0.0/6h,6h,5,NA,0.6,10
208,63680,20/04/2021 09:00,09:00:00,20,4,2021,23.8,18.9,81,W,3.7,0.0/3h,3h,7,5,0.6,10
2112,63680,20/04/2021 06:00,06:00:00,20,4,2021,20.5,18.9,96,CAL,0,0.7/24h,24h,7,4,0.3,8
2210,63680,18/04/2021 15:00,15:00:00,18,4,2021,25.4,18.9,67,CAL,0,0.0/3h,3h,2,2,0.6,10
238,63680,18/04/2021 12:00,12:00:00,18,4,2021,27.2,18.9,62,WSW,7.4,0.0/6h,6h,4,4,0.6,10
248,63680,18/04/2021 09:00,09:00:00,18,4,2021,25,18.9,69,S,11.1,0.0/3h,3h,6,4,0.6,9
258,63680,18/04/2021 06:00,06:00:00,18,4,2021,19.4,18.9,100,CAL,0,0.6/24h,24h,8,5,0.3,6
267,63680,17/04/2021 15:00,15:00:00,17,4,2021,26.5,18.9,63,SSE,7.4,0.0/3h,3h,2,2,0.6,10
276,63680,17/04/2021 12:00,12:00:00,17,4,2021,27.5,18.9,64,SSE,3.7,0.0/6h,6h,2,2,0.6,10
286,63680,17/04/2021 09:00,09:00:00,17,4,2021,26.4,18.9,63,S,7.4,0.0/3h,3h,4,4,0.6,10
296,63680,17/04/2021 06:00,06:00:00,17,4,2021,20.4,18.9,93,CAL,0,12.0/24h,24h,7,4,0.3,7
306,63680,16/04/2021 12:00,12:00:00,16,4,2021,23,18.9,83,CAL,0,7.0/6h,6h,5,5,0.3,10
3111,63680,16/04/2021 09:00,09:00:00,16,4,2021,25.5,18.9,70,S,7.4,0.0/3h,3h,7,5,0.6,9
327,63680,15/04/2021 15:00,15:00:00,15,4,2021,22,18.9,87,S,7.4,0.1/3h,3h,7,5,0.3,9
336,63680,14/04/2021 15:00,15:00:00,14,4,2021,24.2,18.9,75,SSE,7.4,0.0/3h,3h,5,5,0.6,10
345,63680,14/04/2021 12:00,12:00:00,14,4,2021,27.5,18.9,58,S,3.7,0.0/6h,6h,6,6,0.6,10
355,63680,14/04/2021 09:00,09:00:00,14,4,2021,26.2,18.9,60,S,9.3,0.0/3h,3h,4,4,0.6,10
365,63680,14/04/2021 06:00,06:00:00,14,4,2021,20.5,18.9,91,CAL,0,0.4/24h,24h,6,4,0.3,5
375,63680,13/04/2021 12:00,12:00:00,13,4,2021,24,18.9,69,W,9.3,0.0/6h,6h,5,4,0.6,10
385,63680,13/04/2021 09:00,09:00:00,13,4,2021,21.4,18.9,84,WNW,7.4,NA,NA,7,4,0.3,10
395,63680,13/04/2021 06:00,06:00:00,13,4,2021,18,18.9,100,CAL,0,59.0/24h,24h,8,5,0.3,6
404,63680,12/04/2021 12:00,12:00:00,12,4,2021,27.2,18.9,59,E,9.3,0.0/6h,6h,4,4,0.6,10
4110,63680,12/04/2021 09:00,09:00:00,12,4,2021,27,18.9,64,S,11.1,0.0/3h,3h,4,4,0.6,10
424,63680,12/04/2021 06:00,06:00:00,12,4,2021,21.8,18.9,82,CAL,0,Tr/24h,24h,6,4,0.3,9
434,63680,11/04/2021 15:00,15:00:00,11,4,2021,26,18.9,65,SSE,7.4,0.0/3h,3h,3,3,0.6,20
444,63680,10/04/2021 15:00,15:00:00,10,4,2021,26,18.9,63,S,7.4,0.0/3h,3h,4,2,0.6,10
454,63680,10/04/2021 06:00,06:00:00,10,4,2021,22.2,18.9,82,CAL,0,0.0/24h,24h,6,4,0.3,8
463,63680,09/04/2021 15:00,15:00:00,9,4,2021,26,18.9,65,S,7.4,0.0/3h,3h,4,2,0.6,20
472,63680,09/04/2021 12:00,12:00:00,9,4,2021,27.5,18.9,61,S,11.1,0.0/6h,6h,4,4,0.6,20
482,63680,09/04/2021 09:00,09:00:00,9,4,2021,26.4,18.9,65,S,9.3,0.0/3h,3h,4,4,0.6,10
492,63680,09/04/2021 06:00,06:00:00,9,4,2021,25,18.9,69,SSE,21.6,0.0/24h,24h,2,2,0.6,9
502,63680,08/04/2021 12:00,12:00:00,8,4,2021,28.5,18.9,56,S,11.1,0.0/6h,6h,3,3,0.6,10
516,63680,08/04/2021 09:00,09:00:00,8,4,2021,27.5,18.9,55,S,3.7,0.0/3h,3h,2,2,0.6,10
522,63680,08/04/2021 06:00,06:00:00,8,4,2021,23,18.9,80,S,5.6,0.0/24h,24h,5,2,0.6,9
532,63680,07/04/2021 12:00,12:00:00,7,4,2021,28.2,18.9,56,S,7.4,0.0/6h,6h,3,3,0.6,10
542,63680,07/04/2021 09:00,09:00:00,7,4,2021,27,18.9,60,SSE,7.4,0.0/3h,3h,4,4,0.6,10
552,63680,06/04/2021 09:00,09:00:00,6,4,2021,25,18.9,69,S,9.3,0.0/3h,3h,7,4,0.6,10
562,63680,06/04/2021 06:00,06:00:00,6,4,2021,19.5,18.9,96,CAL,0,4.0/24h,24h,7,4,0.3,8
572,63680,05/04/2021 12:00,12:00:00,5,4,2021,27,18.9,62,S,11.1,0.0/6h,6h,5,5,0.6,10
581,63680,05/04/2021 09:00,09:00:00,5,4,2021,26.5,18.9,63,S,9.3,0.0/3h,3h,4,4,0.6,10
591,63680,05/04/2021 06:00,06:00:00,5,4,2021,21.5,18.9,87,SSE,7.2,0.0/24h,24h,7,4,0.3,8
60,63680,04/04/2021 09:00,09:00:00,4,4,2021,24,18.9,76,SSE,7.4,0.0/3h,3h,6,4,0.6,10
611,63680,04/04/2021 06:00,06:00:00,4,4,2021,20,18.9,100,CAL,0,1.0/24h,24h,8,6,0.3,9
621,63680,03/04/2021 09:00,09:00:00,3,4,2021,26,18.9,67,W,7.4,0.0/3h,3h,4,4,0.6,10
631,63680,03/04/2021 06:00,06:00:00,3,4,2021,22,18.9,83,WSW,7.4,1.0/24h,24h,2,2,0.3,5
641,63680,02/04/2021 09:00,09:00:00,2,4,2021,19.5,18.9,96,CAL,0,1.0/3h,3h,8,5,0.3,10
651,63680,01/04/2021 12:00,12:00:00,1,4,2021,26.5,18.9,67,CAL,0,0.0/6h,6h,2,2,0.6,10
661,63680,01/04/2021 09:00,09:00:00,1,4,2021,26,18.9,70,W,5.6,0.0/3h,3h,2,2,0.6,10
671,63680,01/04/2021 06:00,06:00:00,1,4,2021,21.5,18.9,91,CAL,0,0.0/24h,24h,6,3,0.3,7
230,63680,31/03/2021 15:00,15:00:00,31,3,2021,24,18.9,76,CAL,0,0.0/3h,3h,6,5,0.6,10
328,63680,31/03/2021 12:00,12:00:00,31,3,2021,25.2,18.9,72,S,7.4,0.0/6h,6h,7,4,0.3,10
425,63680,31/03/2021 09:00,09:00:00,31,3,2021,23.5,18.9,80,SE,11.1,0.0/3h,3h,6,6,0.6,10
517,63680,31/03/2021 06:00,06:00:00,31,3,2021,20,18.9,98,CAL,0,0.0/24h,24h,8,6,0.3,4
69,63680,30/03/2021 15:00,15:00:00,30,3,2021,24,18.9,72,WNW,7.4,0.0/3h,3h,6,3,0.6,10
79,63680,29/03/2021 06:00,06:00:00,29,3,2021,17.5,18.9,100,CAL,0,22.0/24h,24h,8,6,0.3,7
89,63680,28/03/2021 12:00,12:00:00,28,3,2021,23.4,18.9,80,CAL,0,2.0/6h,6h,7,5,0.3,8
99,63680,28/03/2021 06:00,06:00:00,28,3,2021,22.4,18.9,84,CAL,0,0.0/24h,24h,6,2,0.3,3
109,63680,27/03/2021 09:00,09:00:00,27,3,2021,25.2,18.9,59,CAL,0,0.0/3h,3h,7,4,0.6,10
119,63680,25/03/2021 15:00,15:00:00,25,3,2021,27,18.9,59,S,7.4,0.0/3h,3h,6,2,0.6,10
129,63680,24/03/2021 12:00,12:00:00,24,3,2021,27,18.9,60,S,9.3,0.0/6h,6h,2,2,0.6,10
139,63680,24/03/2021 09:00,09:00:00,24,3,2021,27,18.9,59,E,11.1,0.0/3h,3h,4,4,0.6,10
149,63680,24/03/2021 06:00,06:00:00,24,3,2021,21.6,18.9,88,CAL,0,15.0/24h,24h,2,2,0.3,4
159,63680,23/03/2021 15:00,15:00:00,23,3,2021,18,18.9,95,S,5.6,0.0/3h,3h,7,5,0.6,10
169,63680,23/03/2021 09:00,09:00:00,23,3,2021,26,18.9,70,S,3.7,0.0/3h,3h,6,6,0.6,8
179,63680,23/03/2021 06:00,06:00:00,23,3,2021,22,18.9,85,CAL,0,3.0/24h,24h,7,3,0.3,5
189,63680,21/03/2021 15:00,15:00:00,21,3,2021,21,18.9,93,CAL,0,0.5/3h,3h,7,4,0.3,10
199,63680,21/03/2021 12:00,12:00:00,21,3,2021,20.4,18.9,93,CAL,0,20.0/6h,6h,7,5,0.3,9
209,63680,21/03/2021 09:00,09:00:00,21,3,2021,27.4,18.9,60,SSE,14.8,0.0/3h,3h,5,5,0.6,9
2113,63680,21/03/2021 06:00,06:00:00,21,3,2021,22,18.9,87,CAL,0,3.0/24h,24h,4,2,0.3,6
2211,63680,20/03/2021 15:00,15:00:00,20,3,2021,27,18.9,58,S,7.4,0.0/3h,3h,3,3,0.6,20
239,63680,20/03/2021 12:00,12:00:00,20,3,2021,28.4,18.9,56,S,11.1,0.0/6h,6h,5,5,0.6,10
249,63680,20/03/2021 09:00,09:00:00,20,3,2021,27.5,18.9,58,SSE,11.1,0.0/3h,3h,3,3,0.6,10
259,63680,20/03/2021 06:00,06:00:00,20,3,2021,20.5,18.9,91,CAL,0,17.0/24h,24h,6,4,0.3,6
268,63680,19/03/2021 15:00,15:00:00,19,3,2021,24.5,18.9,73,SSE,7.4,0.0/3h,3h,6,2,0.6,10
277,63680,19/03/2021 12:00,12:00:00,19,3,2021,20.2,18.9,98,S,3.7,15.0/6h,6h,7,5,0.3,9
287,63680,19/03/2021 09:00,09:00:00,19,3,2021,27.4,18.9,56,S,5.6,0.0/3h,3h,4,4,0.6,9
297,63680,19/03/2021 06:00,06:00:00,19,3,2021,20.5,18.9,91,CAL,0,Tr/24h,24h,7,5,0.3,7
307,63680,17/03/2021 15:00,15:00:00,17,3,2021,24.5,18.9,73,SSE,7.4,0.0/3h,3h,6,2,0.6,10
3112,63680,16/03/2021 12:00,12:00:00,16,3,2021,23,18.9,76,W,9.3,0.0/6h,6h,5,5,0.6,9
329,63680,16/03/2021 09:00,09:00:00,16,3,2021,28,18.9,56,S,14.8,0.0/3h,3h,2,2,0.6,7
337,63680,16/03/2021 06:00,06:00:00,16,3,2021,21,18.9,87,CAL,0,0.5/24h,24h,5,5,0.3,4
346,63680,13/03/2021 06:00,06:00:00,13,3,2021,23,18.9,83,CAL,0,0.0/24h,24h,6,2,0.6,4
356,63680,12/03/2021 15:00,15:00:00,12,3,2021,27.6,18.9,55,S,7.4,0.0/3h,3h,2,2,0.6,20
366,63680,12/03/2021 12:00,12:00:00,12,3,2021,29.5,18.9,51,S,7.4,0.0/6h,6h,2,2,0.6,10
376,63680,11/03/2021 15:00,15:00:00,11,3,2021,28,18.9,56,S,7.4,0.0/3h,3h,2,2,0.6,10
386,63680,11/03/2021 12:00,12:00:00,11,3,2021,28.8,18.9,56,S,3.7,0.0/6h,6h,2,2,0.6,10
396,63680,11/03/2021 06:00,06:00:00,11,3,2021,23.4,18.9,80,SW,7.4,0.0/24h,24h,2,2,0.6,6
405,63680,09/03/2021 15:00,15:00:00,9,3,2021,24.5,18.9,73,S,7.4,0.0/3h,3h,2,2,0.6,10
